Status,FirstLine,Lon,Lines,Time,Lat,LowFloor,Brigade
RUNNING,26 ,20.9005489,26             ,2017-05-28T12:10:48,52.2387199,True,7   
RUNNING,10 ,21.0243301,10             ,2017-05-28T12:10:52,52.1944771,True,10  
RUNNING,22 ,20.9495716,22             ,2017-05-28T12:10:24,52.2704124,True,1   
RUNNING,22 ,21.0159912,22             ,2017-05-28T12:10:46,52.230793,True,8   
RUNNING,22 ,20.9776268,22             ,2017-05-28T12:10:24,52.2398224,True,9   
RUNNING,10 ,20.9134293,10             ,2017-05-28T12:10:48,52.2381897,True,5   
RUNNING,15 ,21.0141582,15             ,2017-05-28T12:10:54,52.22612,True,2   
RUNNING,3  ,21.118866,3              ,2017-05-28T12:10:48,52.2381401,True,4   
RUNNING,9  ,20.9814587,9              ,2017-05-28T12:10:49,52.2164764,True,33  
RUNNING,22 ,20.9789658,22             ,2017-05-28T12:10:49,52.2380257,True,3   
RUNNING,20 ,20.9247684,20             ,2017-05-28T12:10:52,52.2473145,True,2   
RUNNING,1  ,20.9820766,1              ,2017-05-28T12:10:46,52.2097969,True,16  
RUNNING,33 ,20.9335194,33             ,2017-05-28T12:10:19,52.278389,True,13  
RUNNING,33 ,21.0025578,33             ,2017-05-28T12:10:24,52.2066841,True,3   
RUNNING,23 ,20.9147034,23             ,2017-05-28T12:10:46,52.2516632,True,1   
RUNNING,24 ,21.0861263,24             ,2017-05-28T12:10:48,52.2452087,True,5   
RUNNING,3  ,21.079546,3              ,2017-05-28T12:10:49,52.2456856,True,3   
RUNNING,7  ,21.0482292,7              ,2017-05-28T12:10:04,52.2450104,True,6   
RUNNING,7  ,21.0042877,7              ,2017-05-28T12:10:46,52.2283211,True,4   
RUNNING,3  ,21.0216827,3              ,2017-05-28T12:10:48,52.2986984,True,1   
RUNNING,24 ,20.9529629,24             ,2017-05-28T12:10:52,52.247303,True,10  
RUNNING,24 ,20.9885349,24             ,2017-05-28T12:10:47,52.2255211,True,9   
RUNNING,15 ,20.944685,15             ,2017-05-28T12:10:48,52.1764221,True,4   
RUNNING,10 ,20.9689827,10             ,2017-05-28T12:10:44,52.2312469,True,4   
RUNNING,17 ,20.9593334,17             ,2017-05-28T12:10:50,52.2803307,True,34  
RUNNING,33 ,20.9302654,33             ,2017-05-28T12:10:46,52.2919731,True,11  
RUNNING,3  ,21.0420933,3              ,2017-05-28T12:10:48,52.2497063,True,6   
RUNNING,3  ,21.0897541,3              ,2017-05-28T12:10:50,52.244976,True,5   
RUNNING,7  ,20.9545383,7              ,2017-05-28T12:10:53,52.1861687,True,2   
RUNNING,26 ,20.9205227,26             ,2017-05-28T12:10:42,52.221405,True,5   
RUNNING,7  ,20.995327,7              ,2017-05-28T12:10:46,52.2263641,True,7   
RUNNING,22 ,21.084959,22             ,2017-05-28T12:10:19,52.2446289,True,6   
RUNNING,7  ,20.9657993,7              ,2017-05-28T12:10:52,52.1987801,True,8   
RUNNING,10 ,20.9009933,10             ,2017-05-28T12:10:52,52.2386246,True,6   
RUNNING,22 ,21.0123329,22             ,2017-05-28T12:10:49,52.2299805,True,4   
RUNNING,22 ,20.977438,22             ,2017-05-28T12:10:52,52.2437134,True,7   
RUNNING,33 ,20.9315624,33             ,2017-05-28T12:10:46,52.2790604,True,9   
RUNNING,15 ,20.9859829,15             ,2017-05-28T12:10:52,52.2692833,True,8   
RUNNING,15 ,20.9816666,15             ,2017-05-28T12:10:49,52.2168655,True,6   
RUNNING,6  ,20.9298306,6              ,2017-05-28T12:10:44,52.2921333,False,6   
RUNNING,6  ,21.0530396,6              ,2017-05-28T12:10:48,52.2473412,False,3   
RUNNING,28 ,20.9042435,28             ,2017-05-28T12:10:52,52.2390633,False,4   
RUNNING,23 ,20.9740944,23             ,2017-05-28T12:10:48,52.2352791,False,8   
RUNNING,27 ,20.9777546,27             ,2017-05-28T12:10:53,52.2394753,False,5   
RUNNING,10 ,21.0055122,10             ,2017-05-28T12:10:49,52.2202263,False,3   
RUNNING,27 ,20.9311886,27             ,2017-05-28T12:10:46,52.2247429,False,1   
RUNNING,28 ,20.9843273,28             ,2017-05-28T12:10:46,52.2551041,False,2   
RUNNING,10 ,20.9620075,10             ,2017-05-28T12:10:52,52.2328339,False,8   
RUNNING,28 ,20.9092846,28             ,2017-05-28T12:10:48,52.2388763,False,5   
RUNNING,9  ,21.1188335,9              ,2017-05-28T12:10:50,52.238163,False,6   
RUNNING,24 ,21.0062809,24             ,2017-05-28T12:10:47,52.2287102,True,4   
RUNNING,23 ,21.0068302,23             ,2017-05-28T12:10:49,52.246067,True,5   
RUNNING,24 ,21.1075611,24             ,2017-05-28T12:10:19,52.2413712,True,7   
RUNNING,23 ,20.9536209,23             ,2017-05-28T12:10:52,52.2473869,True,4   
RUNNING,25 ,21.050869,25             ,2017-05-28T12:10:48,52.2379951,True,8   
RUNNING,23 ,20.9231815,23             ,2017-05-28T12:10:47,52.2597237,True,3   
RUNNING,23 ,21.0428677,23             ,2017-05-28T12:10:47,52.2602882,True,6   
RUNNING,9  ,20.9690704,9              ,2017-05-28T12:10:48,52.2024803,True,1   
RUNNING,9  ,21.0000343,9              ,2017-05-28T12:10:52,52.2273979,True,9   
RUNNING,15 ,20.974577,15             ,2017-05-28T12:10:49,52.208725,True,3   
RUNNING,9  ,20.9437275,9              ,2017-05-28T12:10:49,52.175869,True,2   
RUNNING,9  ,21.0717049,9              ,2017-05-28T12:10:19,52.2421532,True,8   
RUNNING,9  ,21.1192608,9              ,2017-05-28T12:10:54,52.2382164,True,7   
RUNNING,9  ,20.9891834,9              ,2017-05-28T12:10:54,52.2247963,True,4   
RUNNING,26 ,20.9009914,26             ,2017-05-28T12:10:46,52.2386742,True,6   
RUNNING,17 ,21.0026379,"17,18          ",2017-05-28T12:10:54,52.1888275,True,7   
RUNNING,1  ,20.9772148,1              ,2017-05-28T12:10:46,52.2444191,True,4   
RUNNING,22 ,21.0698929,22             ,2017-05-28T12:10:52,52.2462387,True,5   
RUNNING,7  ,20.9438953,7              ,2017-05-28T12:10:32,52.1759644,True,1   
RUNNING,35 ,20.9808903,35             ,2017-05-28T12:10:24,52.2598495,True,4   
RUNNING,17 ,20.9718781,17             ,2017-05-28T12:10:47,52.2727699,True,35  
RUNNING,17 ,20.9487553,"17,18          ",2017-05-28T12:10:48,52.3056717,True,1   
RUNNING,3  ,21.0218811,3              ,2017-05-28T12:10:48,52.2984428,True,8   
RUNNING,7  ,21.0429306,7              ,2017-05-28T12:10:49,52.2493973,True,5   
RUNNING,18 ,20.9426441,"18,17          ",2017-05-28T12:10:46,52.3242264,True,2   
RUNNING,4  ,21.0247765,4              ,2017-05-28T12:10:48,52.1865387,True,1   
RUNNING,24 ,20.9140224,24             ,2017-05-28T12:10:39,52.2520256,True,2   
RUNNING,20 ,21.025301,20             ,2017-05-28T12:10:19,52.25914,True,4   
RUNNING,28 ,21.0499115,28             ,2017-05-28T12:10:48,52.2528191,True,9   
RUNNING,24 ,20.9249249,24             ,2017-05-28T12:10:46,52.2601471,True,1   
RUNNING,4  ,21.0213604,4              ,2017-05-28T12:10:46,52.2131424,True,8   
RUNNING,9  ,20.94384,9              ,2017-05-28T12:10:49,52.1761246,True,32  
RUNNING,9  ,21.0519371,9              ,2017-05-28T12:10:46,52.2382164,True,37  
RUNNING,6  ,21.0193424,6              ,2017-05-28T12:10:50,52.2634697,True,9   
RUNNING,24 ,21.056612,24             ,2017-05-28T12:10:52,52.2390556,True,8   
RUNNING,9  ,20.9858437,9              ,2017-05-28T12:10:49,52.2215462,True,38  
RUNNING,15 ,20.980526,15             ,2017-05-28T12:10:48,52.2752342,True,9   
RUNNING,4  ,21.0320873,4              ,2017-05-28T12:10:22,52.2735214,True,6   
RUNNING,25 ,20.9839725,25             ,2017-05-28T12:10:24,52.2194824,True,1   
RUNNING,17 ,21.0205498,"17,18          ",2017-05-28T12:10:48,52.2119827,True,8   
RUNNING,33 ,20.9297447,33             ,2017-05-28T12:10:50,52.2903748,True,12  
RUNNING,4  ,21.0130253,4              ,2017-05-28T12:10:48,52.3111,True,5   
RUNNING,1  ,20.9826508,1              ,2017-05-28T12:10:54,52.2179832,True,15  
RUNNING,35 ,21.02104,35             ,2017-05-28T12:10:44,52.2100983,True,2   
RUNNING,35 ,20.9336853,35             ,2017-05-28T12:10:46,52.2705765,True,5   
RUNNING,17 ,21.0053387,17             ,2017-05-28T12:10:39,52.2071037,True,37  
RUNNING,17 ,20.9885807,17             ,2017-05-28T12:10:48,52.247551,True,33  
RUNNING,17 ,20.9773884,"17,18          ",2017-05-28T12:10:47,52.2661018,True,5   
RUNNING,1  ,21.0217533,1              ,2017-05-28T12:10:46,52.2987251,True,9   
RUNNING,1  ,21.0325909,1              ,2017-05-28T12:10:38,52.2853889,True,7   
RUNNING,33 ,21.0048618,33             ,2017-05-28T12:10:19,52.2227478,True,2   
RUNNING,4  ,21.0262604,4              ,2017-05-28T12:10:46,52.2808914,True,4   
RUNNING,28 ,20.9366531,28             ,2017-05-28T12:10:47,52.2741814,True,6   
RUNNING,15 ,21.0115242,15             ,2017-05-28T12:10:46,52.230175,True,7   
RUNNING,1  ,20.9798222,1              ,2017-05-28T12:10:47,52.2148666,True,2   
RUNNING,35 ,21.0072403,35             ,2017-05-28T12:10:48,52.237484,True,8   
RUNNING,35 ,21.0163975,35             ,2017-05-28T12:10:46,52.1680527,True,10  
RUNNING,31 ,21.0196648,31             ,2017-05-28T12:10:50,52.1893387,True,3   
RUNNING,9  ,20.9517193,9              ,2017-05-28T12:10:50,52.1833305,True,31  
RUNNING,35 ,21.005352,35             ,2017-05-28T12:10:46,52.2394943,True,3   
RUNNING,35 ,21.0208054,35             ,2017-05-28T12:10:50,52.176075,True,1   
RUNNING,35 ,21.0230427,35             ,2017-05-28T12:10:54,52.2042999,True,9   
RUNNING,35 ,20.93894,35             ,2017-05-28T12:10:52,52.274971,True,6   
RUNNING,11 ,20.9419537,11             ,2017-05-28T12:10:46,52.2265625,True,6   
RUNNING,2  ,20.9317875,2              ,2017-05-28T12:10:53,52.3003235,True,6   
RUNNING,2  ,20.9284782,2              ,2017-05-28T12:10:53,52.2919273,True,5   
RUNNING,11 ,20.9281654,11             ,2017-05-28T12:10:10,52.2890892,True,8   
